,code,name,market,sector,date,start_price,closing_price,high_price,low_price,MA25,volume
2461,6504,富士電機,東証１,電気機器,2020年5月09日,"2,620","2,672","2,674","2,598",8.81,2084
2462,6505,東洋電機製造,東証１,電気機器,2020年5月09日,"1,237","1,249","1,254","1,226",5.46,21
2463,6506,安川電機,東証１,電気機器,2020年5月09日,"3,545","3,500","3,560","3,485",11.44,5808
2464,6507,シンフォニア　テクノロジー,東証１,電気機器,2020年5月09日,"1,044","1,046","1,046","1,026",12.52,47
2465,6508,明電舎,東証１,電気機器,2020年5月09日,"1,647","1,694","1,699","1,633",6.99,174
2466,6513,オリジン,東証１,電気機器,2020年5月09日,"1,459","1,459","1,459","1,446",1.93,5
2467,6516,山洋電気,東証１,電気機器,2020年5月09日,"4,560","4,615","4,715","4,560",6.23,232
2468,6517,デンヨー,東証１,電気機器,2020年5月09日,"1,978","2,000","2,003","1,955",5.13,39
2471,6532,ベイカレント・コンサルティング,東証１,サービス業,2020年5月09日,"6,390","6,320","6,550","6,270",10.64,1056
2472,6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,東証１,サービス業,2020年5月09日,870,882,884,859,10.95,52
2473,6535,アイモバイル,東証１,サービス業,2020年5月09日,625,632,632,613,6.45,31
2475,6538,キャリアインデックス,東証１,サービス業,2020年5月09日,310,319,322,301,19.49,21
2476,6539,ＭＳ－Ｊａｐａｎ,東証１,サービス業,2020年5月09日,761,757,775,733,11.47,164
2477,6540,船場,東証１,サービス業,2020年5月09日,918,927,927,900,5.02,5
2478,6541,グレイステクノロジー,東証１,サービス業,2020年5月09日,"3,180","3,210","3,285","3,160",16.45,470
2481,6544,ジャパンエレベーターサービスホールディングス,東証１,サービス業,2020年5月09日,"2,750","2,679","2,756","2,678",2.12,340
2483,6546,フルテック,東証１,サービス業,2020年5月09日,"1,310","1,280","1,319","1,233",4.22,10
2484,6547,グリーンズ,東証１,サービス業,2020年5月09日,410,412,449,409,4.22,189
2488,6551,ツナググループ・ホールディングス,東証１,サービス業,2020年5月09日,446,438,446,430,9.87,21
2489,6552,ＧａｍｅＷｉｔｈ,東証１,サービス業,2020年5月09日,624,623,634,616,19.82,53
2490,6553,ソウルドアウト,東証１,サービス業,2020年5月09日,"2,394","2,259","2,394","2,226",12.57,110
2492,6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,東証１,サービス業,2020年5月09日,565,586,588,548,21.05,53
2500,6564,ミダック,東証１,サービス業,2020年5月09日,"1,128","1,142","1,147","1,099",11.22,40
2505,6569,日総工産,東証１,サービス業,2020年5月09日,496,503,510,488,17.36,218
